family,sweep,scenario,model,K,dtype,N,BS,isl,hit,base,pr,vs,pr_vs_base,vs_vs_base,vs_vs_pr,base_exact,pr_exact,vs_exact,launch_cfg
real,bs,,flash,512,bf16,16387,2,64k,0.076171875,12.806,12.165,12.478,1.0527,1.0263,0.9749,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,16387,4,64k,0.076171875,12.566,11.912,12.222,1.0549,1.0281,0.9746,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,16387,8,64k,0.076171875,12.546,11.918,12.192,1.0526,1.029,0.9776,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,16387,16,64k,0.076171875,12.578,12.037,12.136,1.0449,1.0364,0.9918,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,16387,32,64k,0.076171875,12.747,12.166,12.114,1.0477,1.0523,1.0044,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,16387,64,64k,0.076171875,12.962,12.426,12.246,1.0431,1.0584,1.0146,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,16387,128,64k,0.076171875,13.421,12.882,12.768,1.0419,1.0511,1.0089,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,16387,256,64k,0.076171875,17.766,16.477,15.984,1.0783,1.1115,1.0308,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,16387,512,64k,0.076171875,29.91,28.166,27.474,1.0619,1.0887,1.0252,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,16387,1024,64k,0.076171875,46.178,43.438,42.41,1.0631,1.0888,1.0243,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,32771,1,128k,0.69921875,14.605,12.358,12.258,1.1818,1.1915,1.0082,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,32771,2,128k,0.69921875,14.392,12.286,12.176,1.1714,1.182,1.0091,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,32771,4,128k,0.69921875,14.211,11.912,12.117,1.193,1.1729,0.9831,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,32771,8,128k,0.69921875,14.32,11.997,12.083,1.1936,1.1851,0.9929,True,True,True,cs1/T512/mb1/v128
real,bs,,flash,512,bf16,32771,16,128k,0.69921875,14.4,12.101,11.965,1.19,1.2035,1.0114,True,True,True,cs1/T512/mb1/v128
